Abbotsford Crescent  	 tuesday-2
Saughtonhall Gardens  	 friday-2
Saughtonhall Grove  	 friday-2
Saughtonhall Place  	 friday-2
Saughtonhall Terrace  	 friday-2
Savile Place  	 tuesday-2
Savile Terrace  	 tuesday-1
Saxe-Coburg Place  	 wednesday-1
Saxe-Coburg Street  	 wednesday-1
Saxe-Coburg Terrace  	 wednesday-1
Scald Law Drive  	 wednesday-2
Scanlan Street  	 wednesday-1a
School Brae  	 friday-1
Sciennes  	 tuesday-2
Sciennes Gardens  	 tuesday-2
Sciennes Hill Place  	 tuesday-1
Sciennes Road  	 tuesday-2
Scone Gardens  	 wednesday-1
Scotland Street  	 wednesday-1
Scotstoun Avenue  	 thursday-1
Scotstoun Green  	 thursday-1
Scotstoun Park  	 thursday-1
Scott Street  	 friday-1
Seacot  	 wednesday-1
Seafield Avenue  	 wednesday-1
Seafield Place  	 wednesday-1
Seafield Road  	 wednesday-1
Seafield Road East  	 wednesday-1
Seafield Street  	 wednesday-1
Seaforth Drive  	 friday-2
Seaview Crescent  	 friday-2
Seaview Terrace  	 friday-2
Seton Place  	 tuesday-2
Shale Road  	 thursday-1
Shandon Crescent  	 tuesday-1
Shandon Place  	 tuesday-2
Shandon Road  	 tuesday-2
Shandon Street  	 tuesday-2
Shandon Terrace  	 tuesday-1
Shanter Way  	 thursday-1
Sharp Street  	 tuesday-1
Shavelin Drive  	 wednesday-1a
Shaw's Square  	 wednesday-1
Shearie Knowe Gardens  	 wednesday-2
Sheriff Bank  	 wednesday-1
Shiels Way  	 wednesday-1
Shore  	 wednesday-1
Shore Place  	 wednesday-1
Shore Road  	 thursday-1
Sidings Way  	 tuesday-2
Sighthill Avenue  	 wednesday-2
Sighthill Crescent  	 wednesday-2
Sighthill Drive  	 wednesday-2
Sighthill Gardens  	 wednesday-2
Sighthill Grove  	 wednesday-2
Sighthill Loan  	 wednesday-2
Sighthill Neuk  	 wednesday-2
Sighthill Park  	 wednesday-2
Sighthill Place  	 wednesday-2
Sighthill Rise  	 wednesday-2
Sighthill Road  	 wednesday-2
Sighthill Street  	 wednesday-2
Sighthill Terrace  	 wednesday-2
Sighthill View  	 wednesday-2
Silverknowes Avenue  	 tuesday-1
Silverknowes Bank  	 tuesday-1
Silverknowes Brae  	 tuesday-1
Silverknowes Court  	 tuesday-1
Silverknowes Crescent  	 tuesday-1
Silverknowes Dell  	 friday-1
Silverknowes Drive  	 tuesday-1
Silverknowes Eastway  	 tuesday-1
Silverknowes Gardens  	 tuesday-1
Silverknowes Green  	 tuesday-1
Silverknowes Grove  	 tuesday-1
Silverknowes Hill  	 tuesday-1
Silverknowes Loan  	 tuesday-1
Silverknowes Midway  	 tuesday-1
Silverknowes Neuk  	 friday-2
Silverknowes Parkway  	 tuesday-1
Silverknowes Place  	 tuesday-1
Silverknowes Road East  	 tuesday-1
Silverknowes Road South  	 friday-1
Silverknowes Southway  	 tuesday-1
Silverknowes Terrace  	 tuesday-1
Silverknowes View  	 tuesday-1
Simon Square  	 friday-1
Sinclair Place  	 tuesday-1
Sir Harry Lauder Road  	 friday-2
Skerryvore Loan  	 tuesday-1
Slaeside  	 wednesday-1
Slateford Gait  	 tuesday-1
Sleigh Drive  	 wednesday-2
Sleigh Gardens  	 wednesday-2
Smeaton Gardens  	 friday-1
Smiddy Wynd  	 thursday-2
Smith's Land  	 thursday-1
Society Road  	 thursday-1
Somerset Place  	 wednesday-1
Somerville Road  	 wednesday-1
Sommerville Gardens  	 thursday-1
South Barnton Avenue  	 friday-1
South Beechwood  	 friday-2
South Carron Crescent  	 wednesday-1
South Carron Wynd  	 wednesday-1
South Clerk Street  	 wednesday-1
South East Circus Place  	 wednesday-1
South Elixa Place  	 friday-2
South Ettrick Road  	 tuesday-2
South Fort Street  	 wednesday-1
South Gayfield Lane  	 wednesday-1
South Gillsland Road  	 tuesday-2
South Gray Street  	 tuesday-2
South Gray's Close  	 thursday-1
South Groathill Avenue  	 friday-2
South Gyle Loan  	 thursday-2
South Gyle Mains  	 thursday-2
South Gyle Park  	 thursday-2
South Gyle Road  	 thursday-2
South Gyle Wynd  	 thursday-2
South Lauder Road  	 tuesday-2
South Laverockbank Avenue  	 tuesday-2
South Learmonth Avenue  	 tuesday-1
South Learmonth Gardens  	 tuesday-1
South Lorne Place  	 wednesday-1
South Maybury  	 thursday-2
South Mellis Park  	 friday-2
South Morton Street  	 friday-2
South Park  	 wednesday-1
South Parrotshot  	 friday-1
South Platt Hill Lane  	 thursday-1
South Scotstoun  	 thursday-1
South Steil  	 tuesday-1
South Trinity Road  	 tuesday-2
Southfield Bank  	 friday-2
Southfield Farm Grove  	 friday-2
Southfield Gardens East  	 friday-2
Southfield Gardens West  	 friday-2
Southfield Loan  	 friday-2
Southfield Road East  	 friday-2
Southfield Road West  	 friday-2
Southfield Square  	 friday-2
Southfield Terrace  	 friday-2
Southfield Villas  	 friday-2
Southhouse Avenue  	 thursday-1
Southhouse Brae  	 thursday-1
Southhouse Broadway  	 thursday-1
Southhouse Close  	 thursday-1
Southhouse Crescent  	 thursday-1
Southhouse Crossway  	 thursday-1
Southhouse Drive  	 thursday-1
Southhouse Gardens  	 thursday-1
Southhouse Grove  	 thursday-1
Southhouse Loan  	 thursday-1
Southhouse Place  	 thursday-1
Southhouse Road  	 thursday-1
Southhouse Terrace  	 thursday-1
Southhouse Walk  	 thursday-1
Soutra Road  	 thursday-2
Spa Place  	 friday-1
Spence Street  	 wednesday-1
Spencer Place  	 tuesday-2
Spinner Lane  	 thursday-2
Spring Gardens  	 wednesday-2
Springfield  	 wednesday-1
Springfield Crescent  	 thursday-1
Springfield Lea  	 thursday-1
Springfield Place  	 thursday-1
Springfield Road  	 thursday-1
Springfield Street  	 wednesday-1
Springfield Terrace  	 thursday-1
Springfield View  	 thursday-1
Springwell Terrace  	 thursday-1
Springwood Park  	 thursday-2
Spruce Way  	 tuesday-1
Spylaw Avenue  	 wednesday-1
Spylaw Bank Road  	 wednesday-1
Spylaw Park  	 wednesday-1
Spylaw Road  	 tuesday-2
Spylaw Street  	 wednesday-1
St Aidens Place  	 friday-1
St Aidens Road  	 friday-1
St Alban's Road  	 tuesday-2
St Andrew Place  	 wednesday-1
St Bernard's Crescent  	 tuesday-1
St Bernard's Row  	 tuesday-1
St Catherine's Gardens  	 friday-1
St Catherine's Place  	 tuesday-2
St Clair Avenue  	 wednesday-1
St Clair Place  	 wednesday-1
St Clair Road  	 wednesday-1
St Clair Street  	 wednesday-1
St Clair Terrace  	 tuesday-1
St Colme Street  	 wednesday-1
St Cuthbert's Court  	 wednesday-2
St Fillan's Terrace  	 tuesday-1
St Francis Way  	 friday-1
St John Street  	 thursday-1
St John's Avenue  	 friday-1
St John's Crescent  	 friday-1
St John's Gardens  	 friday-1
St John's Road  	 friday-1
St John's Terrace  	 friday-1
St Katharine's Brae  	 thursday-2
St Katharine's Crescent  	 thursday-2
St Katharine's Loan  	 thursday-2
St Leonard's Bank  	 friday-1
St Leonard's Hill  	 friday-1
St Leonard's Street  	 friday-1
St Margaret's Road  	 tuesday-2
St Mark's Lane  	 friday-1
St Mark's Place  	 friday-2
St Mary's Place  	 friday-2
St Ninian's Drive  	 friday-1
St Ninian's Road  	 friday-1
St Ninian's Terrace  	 tuesday-1
St Peter's Buildings  	 tuesday-1
St Peter's Place  	 tuesday-2
St Ronan's Terrace  	 tuesday-1
St Teresa Place  	 tuesday-1
St Thomas Road  	 tuesday-2
St Vincent Street  	 wednesday-1
Stable Lane  	 tuesday-2
Stafford Street  	 tuesday-1
Stair Park  	 friday-2
Stair Place  	 thursday-1
Standingstane Road  	 thursday-1
Stanedykehead  	 thursday-1
Stanhope Place  	 tuesday-2
Stanhope Street  	 tuesday-2
Stanley Place  	 wednesday-2
Stanley Road  	 wednesday-1
Stanley Street  	 friday-2
Stanwell Street  	 wednesday-1
Stapeley Avenue  	 wednesday-2
Starbank Road  	 tuesday-2
Stark's Cottages  	 tuesday-1
Station Loan  	 wednesday-1
Station Terrace  	 thursday-1
Station View  	 thursday-1
Stein Street  	 thursday-1
Stenhouse Avenue  	 wednesday-2
Stenhouse Avenue West  	 wednesday-2
Stenhouse Cottages  	 wednesday-2
Stenhouse Crescent  	 wednesday-2
Stenhouse Drive  	 wednesday-2
Stenhouse Gardens  	 wednesday-2
Stenhouse Gardens North  	 wednesday-2
Stenhouse Grove  	 wednesday-2
Stenhouse Mill Crescent  	 wednesday-2
Stenhouse Mill Lane  	 wednesday-1
Stenhouse Place East  	 wednesday-2
Stenhouse Place West  	 wednesday-2
Stenhouse Street East  	 wednesday-2
Stenhouse Street West  	 wednesday-2
Stenhouse Terrace  	 wednesday-2
Stennis Gardens  	 thursday-2
Stevedore Place  	 wednesday-1
Stevenson Avenue  	 tuesday-2
Stevenson Drive  	 wednesday-2
Stevenson Grove  	 tuesday-2
Stevenson Road  	 tuesday-2
Stevenson Terrace  	 tuesday-2
Stewart Avenue  	 wednesday-1
Stewart Clark Avenue  	 thursday-1
Stewart Crescent  	 wednesday-1
Stewart Gardens  	 wednesday-1
Stewart Road  	 wednesday-1
Stewart Terrace  	 thursday-1
Stillhouse Loan  	 thursday-1
Stoneycroft Road  	 thursday-1
Stoneyflatts  	 thursday-1
Stoneyflatts Crescent  	 thursday-1
Stoneyflatts Park  	 thursday-1
Strachan Gardens  	 friday-2
Strachan Road  	 friday-2
Straiton Place  	 friday-2
Strathalmond Court  	 thursday-2
Strathalmond Park  	 thursday-2
Strathalmond Road  	 thursday-2
Strathearn Place  	 tuesday-2
Stuart Crescent  	 thursday-2
Stuart Green  	 thursday-2
Stuart Park  	 thursday-2
Stuart Square  	 thursday-1
Stuart Wynd  	 thursday-2
Succoth Avenue  	 friday-2
Succoth Gardens  	 friday-2
Succoth Park  	 friday-2
Succoth Place  	 friday-2
Suffolk Road Lane  	 thursday-1
Summerbank  	 wednesday-1
Summerfield Gardens  	 wednesday-1
Summerfield Place  	 wednesday-1
Summerside Place  	 wednesday-1
Summerside Street  	 wednesday-1
Summertrees Court  	 friday-1
Sunbury Mews  	 tuesday-1
Sunbury Place  	 tuesday-1
Sunbury Street  	 tuesday-1
Sunnyside  	 wednesday-1
Sutherland Street  	 tuesday-2
Swan Spring Avenue  	 tuesday-1
Swanfield  	 wednesday-1
Swanston Avenue  	 tuesday-1
Swanston Crescent  	 tuesday-1
Swanston Drive  	 tuesday-1
Swanston Gardens  	 tuesday-1
Swanston Green  	 tuesday-1
Swanston Grove  	 tuesday-1
Swanston Loan  	 tuesday-1
Swanston Muir  	 wednesday-2
Swanston Park  	 tuesday-1
Swanston Place  	 tuesday-1
Swanston Road  	 wednesday-1
Swanston Row  	 tuesday-1
Swanston Terrace  	 tuesday-1
Swanston View  	 tuesday-1
Swanston Village  	 wednesday-1
Swanston Way  	 tuesday-1
Sycamore Gardens  	 friday-1
Sycamore Terrace  	 friday-1
Sydney Park  	 wednesday-2
Sydney Place  	 wednesday-2
Sydney Terrace  	 wednesday-2
Sylvan Place  	 tuesday-2
Syme Crescent  	 tuesday-1
Syme Place  	 tuesday-1
Syme Rigg  	 tuesday-1
Talisman Place  	 thursday-2
Talla Street  	 thursday-2
Tansy Street  	 wednesday-1
Tantallon Place  	 tuesday-2
Telford Drive  	 friday-2
Telford Gardens  	 friday-2
Telford Place  	 friday-2
Telford Road  	 friday-2
Templar Crescent  	 thursday-1
Templar's Cramond  	 friday-1
Temple Drive  	 thursday-1
Temple Park Crescent  	 tuesday-2
Temple Place  	 thursday-1
Templeland Grove  	 friday-1
Templeland Road  	 friday-1
Tennant Street  	 wednesday-1
Terrars Croft  	 friday-1
Teviotdale Place  	 tuesday-1
The Bowling Green  	 wednesday-1
The Causeway  	 wednesday-1
The Cedars  	 wednesday-1
The Crescent  	 tuesday-1
The Gallolee  	 wednesday-2
The Lade  	 wednesday-1
The Limes  	 tuesday-2
The Loan  	 thursday-1
The Murrays  	 thursday-1
The Murrays Brae  	 thursday-1
The North Walk  	 tuesday-1
The Paddockholm  	 friday-1
The Pottery  	 friday-1
The Quilts  	 wednesday-1
The Spinney  	 thursday-1
The Square  	 thursday-1
The Steils  	 tuesday-1
The Vennel  	 thursday-1
The Wisp  	 friday-1
Thirlestane Lane  	 tuesday-1
Thomson Crescent  	 wednesday-1
Thomson Drive  	 wednesday-1
Thomson Grove  	 wednesday-1
Thomson Place  	 thursday-1
Thomson Road  	 wednesday-1
Thorburn Grove  	 wednesday-2
Thorburn Road  	 wednesday-2
Thorntree Street  	 wednesday-1
Thornville Terrace  	 wednesday-1
Thorters Place  	 thursday-2
Threipmuir Avenue  	 wednesday-1
Threipmuir Gardens  	 wednesday-1
Threipmuir Place  	 wednesday-1
Timber Bush  	 wednesday-1
Timmins Court  	 thursday-1
Tipperlinn Road  	 tuesday-2
Tobias Street  	 friday-1
Toddshill Road  	 thursday-1
Todshaugh Gardens  	 thursday-1
Tor Lane  	 thursday-2
Torduff Road  	 wednesday-1a
Tormain Bank  	 thursday-1
Tormain Drive  	 thursday-1
Torphichen Street  	 tuesday-1
Torphin Bank  	 wednesday-2
Torphin Road  	 wednesday-2
Torrance Park  	 friday-1
Torrance Row  	 wednesday-1
Torrance Way  	 wednesday-1
Torwood Crescent  	 thursday-2
Toward Court  	 thursday-2
Tower Street  	 wednesday-1
Trafalgar Lane  	 tuesday-1
Traquair Park East  	 friday-1
Traquair Park West  	 friday-1
Trench Knowe  	 tuesday-1
Tressilian Gardens  	 thursday-2
Trinity Grove  	 tuesday-2
Trinity Mains  	 tuesday-2
Trinity Road  	 tuesday-2
Trinity Way  	 tuesday-2
Trotter Haugh  	 tuesday-2
Tryst Park  	 wednesday-2
Tudsbery Avenue  	 friday-1
Turner Avenue  	 wednesday-1
Turner Park  	 wednesday-1
Turnhouse Farm Road  	 thursday-2
Turnhouse Road  	 thursday-2
Tweedie Lane  	 wednesday-1
Tweedsmuir Drive  	 thursday-1
Tweedsmuir Gait  	 thursday-1
Tyler's Acre Avenue  	 friday-1
Tyler's Acre Gardens  	 friday-1
Tyler's Acre Road  	 friday-1
Tytler Gardens  	 wednesday-1
Ulster Crescent  	 wednesday-2
Ulster Drive  	 wednesday-2
Ulster Gardens  	 wednesday-2
Ulster Grove  	 wednesday-2
Ulster Terrace  	 wednesday-2
Umbrella Pine Terrace,  	 thursday-2
Underwoods Grove  	 wednesday-1
Union Street  	 wednesday-1
Upper Coltbridge Terrace  	 friday-1
Upper Craigour  	 thursday-1
Upper Craigour Way  	 thursday-1
Upper Cramond Court  	 friday-1
Upper Dean Terrace  	 wednesday-1
Upper Deanpark Farm  	 wednesday-1
Upper Gilmore Place  	 tuesday-2
Upper Gilmore Terrace  	 tuesday-1
Upper Gray Street  	 tuesday-2
Upper Hermitage  	 wednesday-1
Vanburgh Place  	 wednesday-1
Vandeleur Avenue  	 wednesday-2
Vandeleur Grove  	 wednesday-2
Vandeleur Place  	 wednesday-2
Veitch's Square  	 wednesday-1
Ventnor Place  	 wednesday-1
Ventnor Terrace  	 wednesday-1
Venturefair Drive  	 thursday-1
Vernon Cottages  	 friday-1
Vexhim Park  	 friday-1
Victor Park Terrace  	 friday-1
Viewfield Road  	 tuesday-2
Viewforth  	 tuesday-2
Viewforth Place  	 thursday-1
Viewforth Road  	 thursday-1
Viewforth Terrace  	 tuesday-2
Villa Road  	 thursday-1
Violet Terrace  	 tuesday-1
Vivian Terrace  	 friday-1
Wakefield Avenue  	 wednesday-2
Walford Drive  	 friday-2
Walker Drive  	 thursday-1
Walker Street  	 tuesday-1
Walker Terrace  	 tuesday-1
Walkers Court  	 wednesday-2
Walkers Rigg  	 wednesday-2
Walkers Wynd  	 wednesday-2
Wallace Gardens  	 friday-2
Walter Scott Avenue  	 friday-1
Wantonwalls View  	 wednesday-1a
Wardie Avenue  	 tuesday-2
Wardie Crescent  	 tuesday-2
Wardie Dell  	 tuesday-2
Wardie Grove  	 tuesday-2
Wardie House Lane  	 tuesday-2
Wardie Park  	 tuesday-2
Wardie Road  	 tuesday-2
Wardie Square  	 tuesday-1
Wardieburn Drive  	 tuesday-2
Wardieburn Place East  	 tuesday-2
Wardieburn Place North  	 tuesday-2
Wardieburn Place South  	 tuesday-2
Wardieburn Place West  	 tuesday-2
Wardieburn Road  	 tuesday-2
Wardieburn Street East  	 tuesday-2
Wardieburn Street West  	 tuesday-2
Wardieburn Terrace  	 tuesday-2
Wardiefield  	 tuesday-2
Warriston Avenue  	 tuesday-2
Warriston Crescent  	 tuesday-1
Warriston Drive  	 tuesday-2
Warriston Farm Road  	 wednesday-1
Warriston Gardens  	 tuesday-2
Warriston Grove  	 tuesday-2
Warriston Road  	 tuesday-1
Warriston Terrace  	 tuesday-1
Washington Lane  	 tuesday-1
Waterfield Road  	 tuesday-1
Waterfront Avenue  	 tuesday-1
Waterson Avenue  	 friday-1
Watertoun Road  	 tuesday-2
Watt Gardens  	 friday-1
Watt Park  	 friday-1
Wauchope Crescent  	 friday-1
Wauchope Terrace  	 friday-1
Waulkmill Loan  	 wednesday-1
Weavers Knowe Crescent  	 wednesday-1
Weir Street  	 thursday-2
Well Court  	 tuesday-1
Well Spring Close  	 tuesday-1
Wellflats Road  	 thursday-1
Wellhead Close  	 thursday-1
Wellingtonia Crescent  	 thursday-2
Wemyss Place  	 wednesday-1
Wemyss Place Mews  	 wednesday-1
Werberside Mews  	 tuesday-1
West Annandale Street  	 wednesday-1
West Bowling Green Street  	 wednesday-1
West Brighton Crescent  	 friday-2
West Bryson Road  	 tuesday-2
West Caiystane Road  	 tuesday-1
West Carnethy Avenue  	 wednesday-2
West Castle Road  	 tuesday-2
West Catherine Place  	 tuesday-2
West Cherrybank  	 wednesday-1
West Coates  	 tuesday-2
West Craigie Farm Road  	 thursday-1
West Craigs Avenue  	 thursday-2
West Craigs Crescent  	 thursday-2
West Croft  	 thursday-1
West End Place  	 tuesday-2
West Fairbrae Crescent  	 thursday-2
West Fairbrae Drive  	 thursday-2
West Ferryfield  	 tuesday-2
West Gait  	 wednesday-1
West Gorgie Place  	 tuesday-2
West Harbour Road  	 tuesday-2
West Mains Road  	 tuesday-2
West Maitland Street  	 tuesday-1
West Mayfield  	 tuesday-2
West Mill Bank  	 wednesday-1
West Mill Road  	 wednesday-1
West Montgomery Place  	 wednesday-2
West Pilton Avenue  	 tuesday-1
West Pilton Bank  	 tuesday-1
West Pilton Brae  	 tuesday-1
West Pilton Crescent  	 tuesday-1
West Pilton Crossway  	 tuesday-1
West Pilton Drive  	 tuesday-1
West Pilton Gardens  	 tuesday-1
West Pilton Green  	 tuesday-1
West Pilton Grove  	 tuesday-1
West Pilton Lea  	 tuesday-1
West Pilton Loan  	 tuesday-1
West Pilton March  	 tuesday-1
West Pilton Park  	 tuesday-1
West Pilton Place  	 tuesday-1
West Pilton Rise  	 tuesday-1
West Pilton Street  	 tuesday-1
West Pilton Terrace  	 tuesday-1
West Pilton View  	 tuesday-1
West Powburn  	 tuesday-2
West Relugas Road  	 tuesday-2
West Savile Gardens  	 tuesday-2
West Savile Road  	 tuesday-2
West Savile Terrace  	 tuesday-2
West Scotland Street Lane  	 wednesday-1
West Shore Road  	 tuesday-1
West Silvermills Lane  	 wednesday-1
West Stanhope Place  	 tuesday-2
West Telferton  	 wednesday-2
West Terrace  	 thursday-1
West Tollcross  	 tuesday-2
West Werberside  	 tuesday-1
West Winnelstrae  	 tuesday-2
West Woods  	 tuesday-1
Westbank Loan  	 friday-2
Westbank Place  	 friday-2
Westbank Street  	 friday-2
Westburn Avenue  	 wednesday-1
Westburn Grove  	 wednesday-1
Westburn Middlefield  	 wednesday-1
Westburn Park  	 wednesday-1
Wester Broom Avenue  	 thursday-2
Wester Broom Drive  	 thursday-2
Wester Broom Gardens  	 thursday-2
Wester Broom Grove  	 thursday-2
Wester Broom Place  	 thursday-2
Wester Broom Terrace  	 thursday-2
Wester Coates Avenue  	 tuesday-2
Wester Coates Gardens  	 tuesday-2
Wester Coates Place  	 tuesday-1
Wester Coates Road  	 tuesday-2
Wester Coates Terrace  	 tuesday-2
Wester Dalmeny Steading  	 thursday-1
Wester Drylaw Avenue  	 friday-2
Wester Drylaw Drive  	 friday-2
Wester Drylaw Park  	 friday-2
Wester Drylaw Place  	 friday-2
Wester Drylaw Row  	 friday-2
Wester Hailes Park  	 wednesday-2
Wester Hailes Road  	 tuesday-2
Wester Hill  	 tuesday-1
Wester Rigg  	 wednesday-1
Wester Row  	 thursday-1
Wester Steil  	 tuesday-1
Western Corner  	 friday-2
Western Gardens  	 friday-1
Western Place  	 friday-1
Western Terrace  	 friday-2
Westfield  	 thursday-1
Westfield Road  	 tuesday-2
Westgarth Avenue  	 wednesday-2
Westhall Gardens  	 tuesday-2
Westland Cottages  	 thursday-1
Westmost Close  	 wednesday-1
Wheatlands  	 thursday-1
Whins Place  	 friday-1
Whinstone Place  	 thursday-1
White Dales  	 tuesday-1
Whiteadder Loan  	 thursday-2
Whitehead Grove  	 thursday-1
Whitehill Street  	 wednesday-1a
Whitehouse Road  	 friday-1
Whitehouse Terrace  	 tuesday-2
Whitelaw  	 wednesday-1
Whitelaw Crossing Cottage  	 wednesday-1
Whitelea Crescent  	 wednesday-1
Whitelea Road  	 wednesday-1
Whitingford  	 wednesday-1
Whitson Crescent  	 wednesday-2
Whitson Grove  	 wednesday-2
Whitson Place East  	 wednesday-2
Whitson Place West  	 wednesday-2
Whitson Road  	 wednesday-2
Whitson Terrace  	 wednesday-2
Whitson Walk  	 wednesday-2
Whitson Way  	 wednesday-2
Wilfrid Terrace  	 wednesday-2
Wilkieston Road  	 thursday-1
William Black Place  	 thursday-1
William Jameson Place  	 friday-1
William Street  	 tuesday-1
William Street North East Lane  	 tuesday-1
William Street North West Lane  	 tuesday-1
William Street South East Lane  	 tuesday-1
William Street South West Lane  	 tuesday-1
Willow Tree Place  	 wednesday-1
Willowbrae Avenue  	 wednesday-2
Willowbrae Gardens  	 wednesday-2
Wilson's Park  	 friday-1
Wilton Road  	 thursday-2
Windmill Place  	 friday-1
Windrush Drive  	 wednesday-1
Windsor Place  	 friday-1
Winterburn Place  	 wednesday-2
Winton Drive  	 tuesday-1
Winton Gardens  	 tuesday-1
Winton Grove  	 tuesday-1
Winton Loan  	 tuesday-1
Winton Park  	 tuesday-1
Winton Terrace  	 tuesday-1
Wintour Lane  	 wednesday-1
Wisp Green  	 friday-1
Wolrige Road  	 thursday-2
Wolseley Crescent  	 wednesday-2
Wolseley Gardens  	 wednesday-2
Woodbine Terrace  	 wednesday-1
Woodfield Avenue  	 wednesday-2
Woodfield Park  	 wednesday-2
Woodhall Avenue  	 wednesday-1
Woodhall Bank  	 wednesday-2
Woodhall Drive  	 wednesday-1
Woodhall Grove  	 wednesday-2
Woodhall Millbrae  	 wednesday-1
Woodhall Terrace  	 wednesday-1
Woodlands Grove  	 friday-2
Woodside Terrace  	 friday-2
Woodstock Place  	 thursday-2
Woodville Terrace  	 wednesday-1
Woolmet Place  	 friday-1
Wyvern Park  	 tuesday-2
Yarrow Place  	 thursday-2
Yewlands Crescent  	 thursday-2
Yewlands Gardens  	 thursday-2
York Place  	 wednesday-1
York Road  	 tuesday-2
Yorkston Court  	 wednesday-1
Young Drive  	 thursday-1
Young Street  	 wednesday-1
Young Street North Lane  	 wednesday-1
Zetland Place  	 tuesday-2
Duddingston Road West 29 - 41 and 24 -92  	 friday-2
Ferry Road 3 - 243 and 28 - 530  	 tuesday-2
Gilmour Road 1 - 10  	 tuesday-2
Gilmour Road 11 - 53  	 thursday-2
Gorgie Road 190 and 206  	 tuesday-1
Gracemount Drive 2 and 20  	 thursday-1
Granby Road 1 - 5A  	 tuesday-2
Granby Road 5B - 52  	 thursday-2
Howden Hall Road 1 - 10  	 thursday-2
Howden Hall Road 12 - 80  	 thursday-1
Joppa Road 1 - 109  	 friday-2
Loaning Crescent 1 - 7 and 29 - 35  	 wednesday-2
Loaning Crescent 9 - 27  	 wednesday-1
Minto Street 1 - 30  	 wednesday-1
Minto Street 31 - 51  	 tuesday-2
Newington Road 76 and 86  	 tuesday-2
Old Church Lane 3 and 5  	 friday-2
Pilton Avenue 213 - 363 and 100 - 206  	 tuesday-1
Pilton Avenue 5 - 211 and 2 - 98  	 tuesday-2
Queensferry Road 5 -195 and 84 - 236 EH4  	 friday-2
Woodhall Road 154 – 184  	 wednesday-1a
Glenbrook Road 70A to B7031  	 wednesday-1
Kirkliston To Burnshot 157C  	 thursday-1
Blinkbonny Road 0 EH14  	 wednesday-1
Bonnington Road 0 EH27  	 thursday-1
Bridge Road 0 EH13  	 wednesday-1
Bridge Road 0 EH14  	 wednesday-1
Bridge Street 0 EH15  	 friday-2
Bridge Street 0 EH28  	 thursday-1
Calder Road 0 EH27  	 thursday-1
Glasgow Road 0 EH28  	 thursday-1
High Street 0 EH29  	 thursday-1
High Street 0 EH30  	 thursday-1
Hope Street 0 EH30  	 thursday-1
Kirkgate 0 EH14  	 wednesday-1
Kirkgate 0 EH16  	 thursday-2
Loch Road 0 EH30  	 thursday-1
Lochend Road 0 EH28  	 thursday-1
Main Street 0 EH14  	 wednesday-1
Main Street 0 EH28  	 thursday-1
Main Street 0 EH29  	 thursday-1
Main Street 0 EH30  	 thursday-1
Manse Road 0 EH12  	 friday-1
Manse Road 0 EH29  	 thursday-1
Pentland View 0 EH10  	 tuesday-1
Pentland View 0 EH14  	 wednesday-1
Queensferry Road 0 EH29  	 thursday-1
Riverside 0 EH28  	 thursday-1
Station Road 0 EH12  	 friday-1
Station Road 0 EH29 and EH30  	 thursday-1
Stewart Place 0 EH14  	 wednesday-1
Stewart Place 0 EH29  	 thursday-1
Stirling Road 0 EH29  	 thursday-1
The Glebe 0 EH29  	 thursday-1
The Glebe 0 EH30  	 thursday-1
The Green 0 EH14  	 wednesday-1
Blinkbonny Road 0 EH4  	 friday-2
Bonnington Road 0 EH6  	 wednesday-1
High Street 0 EH1  	 thursday-1
Hope Street 0 EH2  	 tuesday-2
Loch Road 0 EH4  	 friday-2
Lochend Road 0 EH6  	 wednesday-1
Main Street 0 EH4  	 friday-1
Riverside 0 EH4  	 friday-1
Stirling Road 0 EH5  	 tuesday-2
The Glebe 0 EH4  	 friday-1
The Green 0 EH4  	 friday-1
Abinger Gardens  	 friday-1
Abinger Gardens 1A  	 friday-2
Belford Road 32  	 tuesday-2
Belford Road 76  	 friday-2
Boswall Parkway 1 - 67 Odd and 2 - 120 Even  	 tuesday-2
Boswall Parkway 73 - 121 Odd and 122 - 216 Even  	 tuesday-1
Braid Avenue 43 - 75 Odd and 2 - 22 Even  	 tuesday-1
Braid Avenue 5 - 39 Odd  	 tuesday-2
Broomhall Drive 1 - 111 Odd  	 friday-1
Broomhall Drive 2 - 110 Even  	 thursday-2
Broomhouse Road 204 - 220 Even  	 friday-1
Broomhouse Road 241 - 365 Odd and 354 - 358 Even  	 thursday-2
Calder Road 1 - 509 Odd  	 wednesday-2
Calder Road 2 - 100 Even  	 thursday-2
Calder Road 298 - 370 Even  	 thursday-2
Captain's Drive 11 - 79 Odd and 16 - 44 Even  	 thursday-1
Captain's Drive 81 - 117 Odd and 46 - 82 Even  	 thursday-2
Cluny Gardens Even  	 tuesday-1
Cluny Gardens Odd  	 tuesday-2
Colinton Road 105 - 301 Odd and 62 - 300 Even  	 wednesday-2
Colinton Road 7 - 99 Odd and 2 - 36 Even  	 tuesday-2
Corbiehill Road 1 - 23 Odd and 2 - 28 Even  	 friday-2
Corbiehill Road 25 - 77 Odd and 30 - 64  	 friday-1
Corstorphine Road 223, 225, 233 and 134  	 friday-1
Craighall Road  	 tuesday-2
Craighall Road 7, 87 and 99  	 wednesday-1
Craigleith Road Even  	 friday-2
Craigleith Road Odd  	 tuesday-2
Craiglockhart Park 6 - 24 Even and 25 - 53  	 tuesday-2
